ID,gender,employment,income,density,VMT
1,Female,Employed,39621,9958,20.7
2,Male,Employed,50854,12032,23.8
3,Female,Not in labor force,17232,7537,16.1
4,Male,Unemployed,20925,9969,19.5
5,Female,Employed,34243,12332,20.2
6,Female,Employed,31866,6995,20.8
7,Male,Not in labor force,57368,10023,22.9
8,Male,Employed,240062,10702,29.3
9,Female,Employed,34641,11771,20.2
10,Male,Employed,164916,11230,27.8
11,Female,Not in labor force,11872,7198,14.7
12,Female,Employed,45029,8463,20.9
13,Female,Employed,51218,10571,21.3
14,Female,Employed,75889,13170,22.3
15,Male,Employed,83254,9413,26
16,Female,Not in labor force,18158,10510,15.9
17,Male,Employed,200356,8630,29.2
18,Male,Employed,41501,8895,24.2
19,Female,Employed,27827,9440,19.4
20,Female,Not in labor force,31859,9220,18
21,Female,Not in labor force,39531,5897,19.2
22,Female,Employed,50482,7449,21.7
23,Female,Not in labor force,11326,10686,14.4
24,Female,Employed,49486,6328,22.5
25,Female,Not in labor force,11280,11838,13.9
26,Female,Employed,80024,5856,23.9
27,Male,Employed,162337,9836,28.3
28,Female,Not in labor force,12915,5831,15.7
29,Female,Not in labor force,11841,8059,14.7
30,Male,Employed,40967,7597,23.9
31,Female,Employed,34242,11034,19.9
32,Female,Not in labor force,24316,9012,16.8
33,Male,Employed,86327,7367,26.8
34,Female,Unemployed,21602,12084,16.4
35,Female,Employed,47225,10428,20.7
36,Male,Employed,41783,12068,23
37,Female,Not in labor force,19369,8008,16.3
38,Female,Employed,37271,7007,20.6
39,Male,Unemployed,39242,12119,21.4
40,Female,Employed,41133,13816,20.1
41,Female,Employed,33082,10383,20.5
42,Female,Not in labor force,12879,9863,15.2
43,Female,Unemployed,28318,8719,17.9
44,Female,Not in labor force,17446,8850,16.2
45,Male,Employed,36111,8389,23.5
46,Female,Employed,62047,10029,22
47,Female,Employed,41476,10559,21
48,Female,Employed,59175,6210,23
49,Male,Employed,51710,8373,24.7
50,Female,Not in labor force,18319,14082,15.5
51,Female,Employed,23548,12417,18.9
52,Female,Not in labor force,23476,15404,16.2
53,Male,Employed,71973,7906,25.8
54,Male,Employed,88644,8808,26.7
55,Male,Unemployed,25398,12393,20.3
56,Female,Not in labor force,19311,9296,15.9
57,Female,Not in labor force,37202,10361,18.3
58,Male,Unemployed,33174,6686,21.8
59,Female,Not in labor force,9788,7627,14.4
60,Female,Employed,40274,10167,21
61,Male,Employed,92540,7138,26.7
62,Female,Employed,29488,5468,20.9
63,Male,Unemployed,13514,11226,18.2
64,Male,Employed,168037,14384,27.8
65,Female,Employed,43615,10786,21.2
66,Female,Employed,43798,10442,20.6
67,Male,Not in labor force,38350,13216,20.7
68,Female,Not in labor force,52686,8325,19.6
69,Male,Employed,18626,7588,21.3
70,Male,Not in labor force,59398,10152,22.9
71,Female,Not in labor force,18351,12502,15
72,Female,Employed,131885,9697,25.1
73,Male,Not in labor force,11761,12976,16.8
74,Male,Employed,69570,6597,26.3
75,Male,Employed,48669,7892,25
76,Female,Not in labor force,12105,5270,15.7
77,Female,Employed,111623,6439,24.7
78,Male,Employed,41313,7639,24.1
79,Male,Employed,71676,8552,25.2
80,Male,Unemployed,19264,9145,19.5
81,Male,Employed,236403,10070,29.8
82,Female,Not in labor force,46755,11439,19.1
83,Male,Employed,53842,13055,24.1
84,Female,Employed,78531,13037,22.1
85,Female,Employed,33145,9449,20.1
86,Male,Not in labor force,60246,9148,23.2
87,Female,Not in labor force,41013,8467,18.8
88,Female,Not in labor force,15321,8929,15.3
89,Female,Not in labor force,19138,8821,16.3
90,Female,Not in labor force,20407,8362,16.8
91,Male,Employed,104842,11663,26.6
92,Female,Not in labor force,38862,11958,17.8
93,Female,Not in labor force,13877,6757,15.9
94,Female,Employed,50230,13163,21
95,Female,Not in labor force,31090,9511,17.5
96,Male,Employed,87481,9868,26.2
97,Male,Not in labor force,18840,11420,18.7
98,Female,Employed,57775,8192,22
99,Female,Employed,58649,8477,22.3
100,Female,Employed,32764,12022,20
101,Female,Employed,52414,7273,22.2
102,Female,Not in labor force,20868,8819,16.6
103,Male,Unemployed,31750,9847,21.1
104,Male,Employed,52812,11677,24.1
105,Female,Not in labor force,28804,9177,17.9
106,Female,Employed,47583,11524,20.6
107,Male,Employed,141276,16455,26.6
108,Male,Employed,32005,10465,22.8
109,Female,Employed,85079,8805,23.5
110,Male,Employed,226130,10156,29.8
111,Male,Not in labor force,40826,12222,21.3
112,Male,Employed,41741,6571,24.5
113,Male,Employed,113310,7319,27.3
114,Female,Employed,56138,7742,22.1
115,Female,Employed,77998,7073,23.2
116,Female,Not in labor force,18790,8955,16
117,Female,Employed,58713,9085,22.1
118,Male,Employed,141814,11404,27.7
119,Female,Not in labor force,25988,9314,17.3
120,Female,Not in labor force,17877,11661,15.4
121,Female,Employed,55646,9158,21.6
122,Female,Not in labor force,36574,6960,18.9
123,Female,Employed,28684,4954,20.8
124,Male,Employed,51714,12271,24.1
125,Female,Employed,31066,12327,19.7
126,Female,Not in labor force,9396,7690,14.5
127,Male,Employed,95430,9827,26.7
128,Female,Not in labor force,73240,8916,20.7
129,Female,Not in labor force,23794,7376,17.7
130,Female,Not in labor force,28552,8463,17.4
131,Male,Unemployed,58962,10234,22.9
132,Male,Employed,89475,11461,26.2
133,Female,Not in labor force,11841,9764,14.4
134,Male,Employed,38296,7697,23.9
135,Male,Not in labor force,25961,10645,20.1
136,Female,Employed,30060,7838,20
137,Female,Not in labor force,28239,8698,17.6
138,Female,Employed,28889,6905,20.5
139,Female,Employed,66732,8245,23.1
140,Female,Not in labor force,29752,9278,17.6
141,Male,Unemployed,10420,12022,17.2
142,Female,Employed,59071,8277,22
143,Female,Employed,55868,10834,21.7
144,Female,Not in labor force,32724,10054,17.5
145,Female,Employed,33147,9463,20.2
146,Male,Not in labor force,17733,8282,18.8
147,Non-binary,Employed,43907,10838,20.8
148,Female,Employed,80394,8835,23
149,Female,Employed,81334,11522,23
150,Female,Employed,64676,8367,22.2
151,Female,Employed,52174,8750,22
152,Female,Not in labor force,22702,7904,17.1
153,Male,Employed,23976,10459,21.9
154,Male,Employed,78677,8561,26.2
155,Male,Employed,113765,11187,26.5
156,Female,Not in labor force,17419,10700,15.6
157,Female,Employed,39978,9646,20.4
158,Female,Not in labor force,29185,9506,17.5
159,Male,Employed,33759,9676,23.1
160,Female,Employed,57225,10095,21.7
161,Male,Not in labor force,74271,14917,22.9
162,Female,Not in labor force,16221,11387,15.5
163,Male,Employed,68800,12743,25
164,Female,Employed,67911,15237,21.8
165,Female,Not in labor force,11415,10719,14.3
166,Male,Employed,33598,9697,22.6
167,Female,Not in labor force,11348,11633,14.2
168,Male,Employed,74258,12337,25.1
169,Male,Employed,86598,8760,26.6
170,Male,Employed,60151,9648,25.3
171,Male,Unemployed,36534,10189,21.2
172,Male,Employed,88093,9108,26.1
173,Female,Not in labor force,21483,9306,17
174,Male,Employed,89585,13349,26.1
175,Female,Not in labor force,24402,15013,16.8
176,Female,Not in labor force,8345,3750,15
177,Male,Not in labor force,18981,9662,18.9
178,Male,Employed,36604,9906,23.3
179,Male,Employed,50412,7128,24.9
180,Female,Employed,30211,13191,19.3
181,Male,Employed,104026,11551,26.7
182,Female,Not in labor force,5366,10413,11.7
183,Male,Not in labor force,34097,10480,20.8
184,Female,Unemployed,14878,12027,15.2
185,Male,Employed,100945,11415,26
186,Male,Not in labor force,12237,10989,17.6
187,Female,Not in labor force,13419,9349,15.2
188,Male,Employed,139301,11181,27.4
189,Female,Not in labor force,29514,10462,17.4
190,Male,Employed,27548,9087,22.7
191,Female,Employed,31464,7788,19.9
192,Female,Employed,35151,11256,20
193,Male,Employed,50430,10170,24.1
194,Male,Employed,41178,11046,23.9
195,Female,Employed,42211,8903,21.6
196,Male,Employed,89934,9332,26.4
197,Female,Not in labor force,25993,10832,17
198,Male,Employed,49795,8662,24.8
199,Male,Employed,44514,10304,24.3
200,Female,Employed,104312,10327,23.8
201,Male,Employed,23405,13472,20.9
202,Male,Employed,40264,5360,24.8
203,Male,Unemployed,34667,7710,21.7
204,Female,Employed,29899,11043,19.8
205,Male,Employed,62768,10934,25.1
206,Male,Employed,21991,10740,21.6
207,Male,Employed,68562,7979,25.4
208,Male,Employed,54932,9830,24.6
209,Female,Employed,42649,15622,20
210,Female,Employed,15644,8896,18
211,Female,Employed,28176,8018,20.2
212,Female,Not in labor force,73243,7835,20.9
213,Male,Not in labor force,37434,9581,20.8
214,Female,Employed,46697,12016,20.7
215,Male,Employed,44035,6181,24.3
216,Male,Employed,48413,12676,23.5
217,Female,Not in labor force,9051,9327,13.8
218,Male,Employed,48370,6842,24.8
219,Male,Employed,35527,7857,23.3
220,Female,Not in labor force,24696,6464,17.1
221,Female,Not in labor force,8349,12390,13.1
222,Female,Not in labor force,22915,8631,16.9
223,Female,Employed,12621,9800,17
224,Female,Employed,36999,7020,21.3
225,Female,Not in labor force,42366,5213,19.9
226,Female,Not in labor force,21437,8871,17
227,Female,Employed,25149,7521,19.8
228,Male,Employed,79337,10968,25.3
229,Female,Not in labor force,31716,6791,18.3
230,Female,Employed,19703,8640,18.8
231,Female,Employed,53887,12730,21
232,Female,Unemployed,8276,13336,12.9
233,Female,Employed,37543,9401,20.8
234,Male,Employed,86882,11793,25.4
235,Female,Not in labor force,23483,12333,16.6
236,Female,Employed,49857,14241,20.6
237,Male,Employed,55537,10971,24.5
238,Male,Employed,62053,10829,25.1
239,Male,Employed,51055,9683,24.7
240,Female,Employed,53083,8919,21.9
241,Male,Employed,127432,13231,27
242,Female,Not in labor force,47652,8161,19.1
243,Female,Employed,52514,8553,21.9
244,Male,Employed,64113,14984,24.9
245,Female,Not in labor force,18800,13169,15.8
246,Female,Employed,37285,12013,20.2
247,Female,Employed,50321,2763,24.2
248,Male,Employed,98717,9823,26.4
249,Female,Employed,35931,9436,20.7
250,Male,Employed,91344,9818,26.3
251,Male,Employed,143049,15056,27.5
252,Male,Employed,50384,12957,24.2
253,Female,Employed,39275,10424,20.6
254,Female,Employed,60903,7291,22.5
255,Male,Employed,86535,279,31.8
256,Female,Employed,47076,15588,20.5
257,Male,Employed,29458,5098,24
258,Male,Employed,71579,10005,25.2
259,Female,Not in labor force,12689,7947,15.2
260,Male,Employed,55776,11059,24.5
261,Male,Employed,105483,7401,27
262,Female,Not in labor force,6125,12756,12.5
263,Female,Employed,47497,7532,21.4
264,Female,Not in labor force,18969,8006,16.1
265,Female,Not in labor force,43752,9978,19
266,Male,Not in labor force,19901,9549,19.3
267,Female,Not in labor force,32023,10455,17.8
268,Male,Not in labor force,33355,12277,20.9
269,Female,Employed,53209,9539,21.5
