"","name"
"1","The Port"
"2","Riverside"
"3","Neighborhood Nine"
"4","Area 2/MIT"
"5","Cambridgeport"
"6","Mid-Cambridge"
"7","Wellington-Harrington"
"8","East Cambridge"
"9","Agassiz"
"10","Cambridge Highlands"
"11","Strawberry Hill"
"12","West Cambridge"
"13","North Cambridge"
"14","Roslindale"
"15","Jamaica Plain"
"16","Mission Hill"
"17","Longwood"
"18","Bay Village"
"19","Leather District"
"20","Chinatown"
"21","North End"
"22","Roxbury"
"23","South End"
"24","Back Bay"
"25","East Boston"
"26","Charlestown"
"27","West End"
"28","Beacon Hill"
"29","Downtown"
"30","Fenway"
"31","Brighton"
"32","West Roxbury"
"33","Hyde Park"
"34","Mattapan"
"35","Dorchester"
"36","South Boston Waterfront"
"37","South Boston"
"38","Allston"
"39","Harbor Islands"
